Date,DHT Allocation,MPL Allocation,MPL Invested,MPL BTC Invested,MPL ETH Invested,DHT Invested,DHT BTC Invested,DHT ETH Invested
2022-03-05,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-06,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-07,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-08,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-09,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-10,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-11,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-12,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-13,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-14,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-15,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-16,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-17,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-18,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-19,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-20,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-21,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-22,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-23,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-24,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-25,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-26,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-27,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-28,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-29,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-30,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-31,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-01,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-02,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-03,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-04,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-05,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-06,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-07,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-08,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-09,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-10,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-11,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-12,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-13,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-14,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-15,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-16,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-17,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-18,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-19,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-20,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-21,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-04-22,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
