"Date","Price (Open)"
"2020-04-06","6778.901930033924"
"2020-04-05","6871.237712031639"
"2020-04-04","6740.093326323583"
"2020-04-03","6809.663943682108"
"2020-04-02","6652.485414076123"
"2020-04-01","6422.583278931858"
"2020-03-31","6399.18178362967"
"2020-03-30","5885.007257634465"
"2020-03-29","6257.193564458689"
"2020-03-28","6371.54789876425"
"2020-03-27","6762.415147107755"
"2020-03-26","6697.485170221217"
"2020-03-25","6715.1670388266975"
"2020-03-24","6502.047864055422"
"2020-03-23","5818.270814286746"
"2020-03-22","6196.865464263462"
"2020-03-21","6222.74459956756"
"2020-03-20","6190.430385043257"
"2020-03-19","5408.984582422039"
"2020-03-18","5358.0289774743305"
"2020-03-17","5033.7536225363165"
"2020-03-16","5347.725717220442"
"2020-03-15","5222.37750605591"
"2020-03-14","5640.42635897241"
"2020-03-13","4845.517757046695"
"2020-03-12","7961.323102285647"
"2020-03-11","7893.108716478262"
"2020-03-10","7936.873329638473"
"2020-03-09","8044.574216737788"
"2020-03-08","8895.927211059025"
"2020-03-07","9157.615190431521"
"2020-03-06","9063.155158587917"
"2020-03-05","8758.212088147748"
"2020-03-04","8758.330211960338"
"2020-03-03","8910.501156576402"
"2020-03-02","8530.80763617687"
"2020-03-01","8536.874130882137"
"2020-02-29","8714.16759693389"
"2020-02-28","8806.814853856626"
"2020-02-27","8789.76751670672"
"2020-02-26","9312.398966526533"
"2020-02-25","9664.058876910442"
"2020-02-24","9972.55495117278"
"2020-02-23","9671.081612197679"
"2020-02-22","9690.271378196574"
"2020-02-21","9604.267061152077"
"2020-02-20","9601.120459451151"
"2020-02-19","10182.671114030489"
"2020-02-18","9699.523501690132"
"2020-02-17","9941.366941210284"
"2020-02-16","9901.752429948701"
"2020-02-15","10359.960884418982"
"2020-02-14","10241.52767614713"
"2020-02-13","10349.075210386965"
"2020-02-12","10268.014162300587"
"2020-02-11","9857.689122989243"
"2020-02-10","10162.516676157551"
"2020-02-09","9902.918024529758"
"2020-02-08","9805.789878180452"
"2020-02-07","9754.508986846846"
"2020-02-06","9609.95107728579"
"2020-02-05","9160.750020222187"
"2020-02-04","9288.609085500373"
"2020-02-03","9321.284643989906"
"2020-02-02","9368.919072558188"
"2020-02-01","9333.105203944771"
"2020-01-31","9498.234058298216"
"2020-01-30","9280.416125942953"
"2020-01-29","9385.541780983369"
"2020-01-28","8894.040975868153"
"2020-01-27","8602.468189701558"
"2020-01-26","8336.364573358342"
"2020-01-25","8428.645235740185"
"2020-01-24","8381.800605943428"
"2020-01-23","8657.992615292715"
"2020-01-22","8728.834092645711"
"2020-01-21","8626.341627379159"
"2020-01-20","8701.650893045628"
"2020-01-19","8924.588183842307"
"2020-01-18","8896.836171678035"
